Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2013,22,COL,NL,133,514,486,49,130,29,4,10,52,2,0,23,72,.267,.301,.405,.706,81,197,16,1,2,2,1,*5,RoY-7GG
2014,23,COL,NL,111,467,432,58,124,34,2,18,61,2,1,25,58,.287,.328,.500,.828,115,216,13,4,1,5,1,*5,GG
2015,24,COL,NL,157,665,616,97,177,43,4,42,130,2,5,34,110,.287,.323,.575,.898,124,354,17,4,0,11,13,*5,ASMVP-8GGSS
2016,25,COL,NL,160,696,618,116,182,35,6,41,133,2,3,68,103,.294,.362,.570,.932,129,352,17,2,0,8,10,*5,ASMVP-5GGSS
2017,26,COL,NL,159,680,606,100,187,43,7,37,130,3,2,62,106,.309,.373,.586,.959,130,355,21,4,1,6,9,*5,ASMVP-4GGSS
2018,27,COL,NL,156,673,590,104,175,38,2,38,110,2,2,73,122,.297,.374,.561,.935,133,331,16,3,1,6,10,*5/D,ASMVP-3GGSS
